K,Max Accuracy,Mean Accuracy, Min Accuracy
1,0.32666666666666666,0.2053333333333333,0.17333333333333334
2,0.3,0.19333333333333333,0.11333333333333333
3,0.28,0.2033333333333333,0.16
4,0.31333333333333335,0.21066666666666664,0.17333333333333334
5,0.32666666666666666,0.22266666666666665,0.17333333333333334
6,0.30666666666666664,0.2266666666666667,0.14666666666666667
7,0.29333333333333333,0.21933333333333332,0.16
8,0.30666666666666664,0.21866666666666665,0.14
9,0.3,0.21733333333333332,0.14
10,0.2866666666666667,0.21733333333333332,0.14
11,0.3,0.2313333333333333,0.15333333333333332
12,0.3333333333333333,0.236,0.17333333333333334
13,0.34,0.24466666666666667,0.16
14,0.32,0.24333333333333332,0.16
15,0.32666666666666666,0.24066666666666664,0.16666666666666666
16,0.3,0.24066666666666667,0.16666666666666666
17,0.30666666666666664,0.2333333333333333,0.16
18,0.31333333333333335,0.2373333333333333,0.16
19,0.3333333333333333,0.238,0.16
20,0.32666666666666666,0.23933333333333331,0.16666666666666666
21,0.31333333333333335,0.23333333333333334,0.16666666666666666
22,0.30666666666666664,0.23933333333333331,0.17333333333333334
23,0.29333333333333333,0.238,0.17333333333333334
24,0.30666666666666664,0.242,0.17333333333333334
25,0.3,0.24266666666666667,0.17333333333333334
26,0.3,0.24466666666666667,0.18666666666666668
27,0.30666666666666664,0.24400000000000005,0.18
28,0.3,0.24733333333333335,0.18666666666666668
29,0.3,0.24799999999999994,0.18
30,0.29333333333333333,0.24733333333333332,0.18
31,0.2866666666666667,0.24533333333333332,0.18
32,0.29333333333333333,0.244,0.18
33,0.29333333333333333,0.24266666666666667,0.18666666666666668
34,0.28,0.24,0.18
35,0.2733333333333333,0.23666666666666666,0.17333333333333334
36,0.2733333333333333,0.23999999999999994,0.18
37,0.2866666666666667,0.2373333333333333,0.18
38,0.2866666666666667,0.23200000000000004,0.16666666666666666
39,0.28,0.2293333333333334,0.16
40,0.2866666666666667,0.23133333333333334,0.16666666666666666
41,0.28,0.23400000000000004,0.16
42,0.28,0.23266666666666666,0.17333333333333334
43,0.28,0.23266666666666666,0.18
44,0.2733333333333333,0.23333333333333334,0.18
45,0.26666666666666666,0.23000000000000004,0.17333333333333334
46,0.26666666666666666,0.2313333333333333,0.17333333333333334
47,0.28,0.22733333333333333,0.16666666666666666
48,0.28,0.22933333333333333,0.17333333333333334
49,0.28,0.22933333333333333,0.17333333333333334
50,0.29333333333333333,0.22866666666666666,0.17333333333333334
51,0.29333333333333333,0.22933333333333333,0.17333333333333334
52,0.29333333333333333,0.23266666666666672,0.17333333333333334
53,0.3,0.23000000000000004,0.17333333333333334
54,0.3,0.23533333333333334,0.16666666666666666
55,0.3,0.23466666666666666,0.16666666666666666
56,0.3,0.23666666666666666,0.16666666666666666
57,0.3,0.24,0.16
58,0.3,0.24400000000000005,0.16
59,0.29333333333333333,0.24000000000000005,0.16
60,0.30666666666666664,0.24066666666666667,0.15333333333333332
61,0.30666666666666664,0.23933333333333334,0.15333333333333332
62,0.31333333333333335,0.24200000000000005,0.14666666666666667
63,0.32,0.242,0.15333333333333332
64,0.32666666666666666,0.242,0.15333333333333332
65,0.31333333333333335,0.24066666666666667,0.15333333333333332
66,0.30666666666666664,0.23933333333333334,0.15333333333333332
67,0.30666666666666664,0.24066666666666672,0.14666666666666667
68,0.3,0.23933333333333331,0.15333333333333332
69,0.3,0.23866666666666667,0.15333333333333332
70,0.29333333333333333,0.236,0.14666666666666667
71,0.2866666666666667,0.2293333333333333,0.14
72,0.2866666666666667,0.2286666666666667,0.12666666666666668
73,0.29333333333333333,0.23066666666666666,0.12666666666666668
74,0.30666666666666664,0.23200000000000004,0.12666666666666668
75,0.3,0.23533333333333334,0.14
76,0.29333333333333333,0.23200000000000004,0.14666666666666667
77,0.2866666666666667,0.22866666666666666,0.14666666666666667
78,0.29333333333333333,0.2293333333333333,0.14666666666666667
79,0.3,0.22999999999999998,0.14
80,0.29333333333333333,0.22533333333333333,0.16
81,0.3,0.22866666666666666,0.16
82,0.29333333333333333,0.22266666666666662,0.14666666666666667
83,0.2866666666666667,0.22266666666666665,0.14666666666666667
84,0.29333333333333333,0.22599999999999998,0.15333333333333332
85,0.29333333333333333,0.22600000000000003,0.16666666666666666
86,0.29333333333333333,0.22533333333333333,0.16
87,0.2866666666666667,0.22400000000000003,0.15333333333333332
88,0.3,0.22799999999999998,0.14666666666666667
89,0.30666666666666664,0.22666666666666666,0.16666666666666666
90,0.29333333333333333,0.22533333333333333,0.16666666666666666
91,0.31333333333333335,0.22733333333333333,0.16
92,0.3,0.22866666666666666,0.16
93,0.2866666666666667,0.22933333333333333,0.15333333333333332
94,0.29333333333333333,0.2286666666666667,0.16
95,0.29333333333333333,0.22866666666666663,0.16666666666666666
96,0.29333333333333333,0.22733333333333333,0.17333333333333334
97,0.28,0.22733333333333333,0.17333333333333334
98,0.2866666666666667,0.22799999999999998,0.17333333333333334
99,0.2866666666666667,0.22600000000000003,0.16666666666666666
